p1,p2,alpha,xi,n,niter,logbf,pm_alpha,pm_xi,chisq_stat,chisq_pvalue
0,1,0,0,10,1,4.341330914587598,0.06890785591202458,0.3336680703083167,1.6,0.20590321073206835
0,1,0,0,10,2,4.780035155762397,0.08621370503772584,0.33204329076306244,1.6,0.20590321073206835
0,1,0,0,10,3,5.273706131438951,0.07436265068482917,0.33513909157198746,3.155443620884048e-31,0.9999999999999996
0,1,0,0,10,4,3.230606292631177,0.06729539100724191,0.32926702700280924,3.6000000000000005,0.05777957112359735
0,1,0,0,10,5,5.215066379613197,0.08028170329384643,0.33349050424400134,0.4000000000000001,0.5270892568655381
0,1,0,0,10,6,5.26666209335295,0.07498764346927364,0.34167346523675446,3.155443620884048e-31,0.9999999999999996
0,1,0,0,10,7,5.267301161023641,0.0770020745631426,0.33142559185365233,3.155443620884048e-31,0.9999999999999996
0,1,0,0,10,8,3.916430802390733,0.08939977071099822,0.3170129771556111,3.6000000000000005,0.05777957112359735
0,1,0,0,10,9,1.6045331103973828,0.06226288238028946,0.3383037710197244,6.400000000000001,0.01141203638600163
0,1,0,0,10,10,3.223052477615677,0.06433896416159367,0.3375697316434033,3.6000000000000005,0.05777957112359735
0,1,0,0,10,11,5.274342815307856,0.0763446400291605,0.3331903172166418,3.155443620884048e-31,0.9999999999999996
0,1,0,0,10,12,4.306464615988643,0.07314342210635302,0.32134553028392854,1.6,0.20590321073206835
0,1,0,0,10,13,4.984225964207839,0.07303315516435843,0.3257211939690476,0.4000000000000001,0.5270892568655381
0,1,0,0,10,14,5.265020284899142,0.07693407820626799,0.3440720058708475,3.155443620884048e-31,0.9999999999999996
0,1,0,0,10,15,4.97838403164304,0.0734822516956006,0.3308936295082343,0.4000000000000001,0.5270892568655381
0,1,0,0,10,16,4.30423718753455,0.06967598569907907,0.3288165126894793,1.6,0.20590321073206835
0,1,0,0,10,17,4.783553562744224,0.08607175200583729,0.33623383593291334,1.6,0.20590321073206835
0,1,0,0,10,18,3.914550100637358,0.0855459038997216,0.32966103908820105,3.6000000000000005,0.05777957112359735
0,1,0,0,10,19,4.97507776979765,0.07162041483257571,0.3303918178283566,0.4000000000000001,0.5270892568655381
0,1,0,0,10,20,5.22385859302594,0.08000618674973482,0.3345404022355791,0.4000000000000001,0.5270892568655381
0,1,0,0,10,21,3.919943238607806,0.08271851410256036,0.324859123238939,3.6000000000000005,0.05777957112359735
0,1,0,0,10,22,5.202447398732007,0.08228351800926448,0.33352665368023177,0.4000000000000001,0.5270892568655381
0,1,0,0,10,23,4.965309233790209,0.07016292155494494,0.3418581037059081,0.4000000000000001,0.5270892568655381
0,1,0,0,10,24,5.212427748858545,0.08107832699837293,0.3273624583546899,0.4000000000000001,0.5270892568655381
0,1,0,0,10,25,4.321684290240789,0.07065872383178767,0.3145254342969625,1.6,0.20590321073206835
0,1,0,0,10,26,5.279483293153717,0.07320086610510582,0.3408737391515034,3.155443620884048e-31,0.9999999999999996
0,1,0,0,10,27,4.311181047122142,0.06831760119860887,0.33534684462981085,1.6,0.20590321073206835
