"","p1","p2","alpha","xi","n","rd","seed","logbf","pm_alpha","pm_xi","chisq_stat","chisq_pvalue"
"28",1,1,0,0.333333333333333,100,10,4,6.20235862206425,0.0884550765784853,0.338085320007742,Inf,0
"29",1,2,0.166666666666667,0.333333333333333,1000,10,55,8.65287102587217,0.117229277323495,0.170890938770303,Inf,0
"30",1,1,0,0,100,10,41,7.9917086861069,0.0658274681335729,0.333590605564437,Inf,0
"31",1,2,0.0833333333333333,0.333333333333333,10,10,84,2.00116169042789,0.0814565090149567,0.364978628921726,2.96,0.397833594656797
"32",0,2,0,0.333333333333333,1000,10,75,12.9064842794378,0.0811114944584182,0.395024751439317,Inf,0
"33",1,1,0.166666666666667,0,100,10,62,5.97536028624987,0.10194405710718,0.334476941709997,Inf,0
"34",2,2,0.166666666666667,0.333333333333333,1000,100,54,8.53658204904514,0.0813123234141773,0.20529927002982,70.6129999999999,1.68486946256993e-14
"35",1,2,0.166666666666667,0.333333333333333,10,10,34,0.285810866524447,0.0940304039535492,0.322053956740671,Inf,0
"36",0,2,0.166666666666667,0.166666666666667,10,10,38,3.35910720984171,0.0796986570560295,0.395454159942459,1.4,0.49658530379141
"37",1,2,0.0833333333333333,0,1000,100,43,7.91196912228588,0.135301085561904,0.052126989900479,Inf,0
"38",0,1,0.0833333333333333,0.333333333333333,1000,10,76,15.3316657544465,0.0395423335161559,0.3337820144091,Inf,0
"39",0,1,0.0833333333333333,0,10,100,48,5.04715827376662,0.0823138062750609,0.329952488546666,0.4,0.527089256865538
"40",1,2,0.0833333333333333,0.166666666666667,100,100,64,7.61757470148416,0.0733902252363691,0.295576960751,5.26399999999999,0.153455507826223
"41",0,1,0,0.333333333333333,100,100,30,11.2637580698734,0.0387438597563518,0.341711235337792,Inf,0
"42",1,1,0.166666666666667,0.166666666666667,100,10,25,7.60808133431064,0.0816821977881677,0.328468077887614,Inf,0
"43",1,1,0.0833333333333333,0,10,10,31,1.96024225850436,0.0926345411325379,0.332165052608673,Inf,0
"44",2,2,0.0833333333333333,0,100,10,73,1.58318645010399,0.0980009083535656,0.127877944809267,32.75,1.34385580636586e-06
"45",1,1,0.166666666666667,0.333333333333333,1000,10,44,9.84028803771662,0.125298265684444,0.338924053164728,Inf,0
"46",0,1,0.166666666666667,0.166666666666667,1000,10,33,15.0832734204928,0.0868736437625562,0.331880086500349,Inf,0
"47",0,2,0,0.166666666666667,1000,100,19,12.8341073354136,0.081984092676035,0.307572502668021,Inf,0
"48",1,2,0.166666666666667,0.166666666666667,100,100,28,6.94532789898904,0.0777935031085093,0.161955005326334,9.53599999999999,0.0229514488400533
"49",0,1,0,0.333333333333333,10,10,22,2.90793818154755,0.0806187344451897,0.331610404547023,Inf,0
"50",0,2,0.166666666666667,0.333333333333333,1000,10,18,12.8490481675708,0.0811976148776281,0.232435670601019,Inf,0
"51",2,2,0.166666666666667,0.333333333333333,100,10,63,3.79540632425935,0.0783915979048337,0.415087830565822,8.14,0.086582359732948
"52",1,2,0.0833333333333333,0.333333333333333,10,10,42,1.80960821923616,0.08243815043553,0.357786014872814,6.79999999999999,0.0785531598367983
"53",2,2,0,0,10,100,84,1.63750694174188,0.0880420549360875,0.216233976549442,5.65,0.226855612372604
"54",0,2,0.166666666666667,0.166666666666667,100,10,88,8.16606903399509,0.0922775054828537,0.161964754713914,Inf,0
"55",1,2,0,0.166666666666667,10,100,10,3.38331645549977,0.0680174292215511,0.493891767356654,2,0.57240670447088
"56",1,2,0,0.333333333333333,10,10,53,2.69708481857342,0.0780597196811611,0.374617026830486,0.56,0.905525210355113
"57",0,2,0,0,10,100,22,1.2603205853629,0.08230059070486,0.378028836726939,Inf,0
"58",2,2,0.0833333333333333,0.166666666666667,1000,100,98,8.85640308870279,0.0815171091084155,0.135809171375969,106.792,3.51543287202312e-22
"59",2,2,0,0.166666666666667,10,10,22,1.98096594428578,0.0826476550929709,0.362381479051445,6.1,0.191803643784121
"60",2,2,0,0.166666666666667,10,10,46,-0.088272530665801,0.0865860612686647,0.285922239620198,16.3,0.00264192854059807
"61",2,2,0,0.166666666666667,1000,100,21,9.20551113748843,0.0812429352460483,0.267281650146796,44.7064999999999,4.57566479096367e-09
"62",2,2,0,0,100,10,75,4.41166104726352,0.0842542698014007,0.259005185524489,9.61999999999999,0.0473390648435209
"63",2,2,0.166666666666667,0,1000,100,4,4.80962630103659,0.150303687847784,0.0196585356227196,369.4645,1.09822295059742e-78
"64",2,2,0.0833333333333333,0,1000,10,78,5.28282657308455,0.128054172566659,0.0414073606867707,317.3345,1.97199001500341e-67
"65",2,2,0.166666666666667,0,100,100,59,2.29323992498485,0.110122798280493,0.0736468976575762,43.78,7.12753869605955e-09
"66",1,2,0.0833333333333333,0,10,100,75,2.77595120566093,0.08620704315621,0.265972077726117,2,0.57240670447088
"67",1,1,0.0833333333333333,0.333333333333333,10,100,28,1.60533476647155,0.10941154199203,0.336184082038837,Inf,0
"68",2,2,0.166666666666667,0.166666666666667,1000,10,15,5.90936941995824,0.102141679958667,0.0821964677058702,235.3105,9.48988865230991e-50
"69",1,2,0.166666666666667,0.333333333333333,100,100,23,6.78147079432199,0.100687988973575,0.304566257433066,Inf,0
"70",1,2,0,0.166666666666667,10,10,49,0.0208136862188582,0.0985539846960951,0.258209164376504,Inf,0
"71",1,1,0.0833333333333333,0.166666666666667,10,10,84,1.96516715832569,0.0815608007837466,0.324350516220998,Inf,0
"72",1,1,0.0833333333333333,0.333333333333333,10,10,37,3.03830368505263,0.0764286826799255,0.333830230614315,1.2,0.548811636094026
"73",0,2,0.0833333333333333,0.166666666666667,10,100,76,2.73349971469064,0.0855939817034496,0.27294964793592,3.95,0.138761312242955
"74",1,1,0.166666666666667,0.333333333333333,1000,10,89,8.82115229721057,0.14785983963586,0.337550795471935,Inf,0
"75",0,2,0.166666666666667,0,100,100,92,6.39173990888241,0.123439440894069,0.0506381266472382,Inf,0
"76",1,1,0.166666666666667,0.333333333333333,10,100,5,3.64087727280251,0.0751372232080399,0.337269505867903,0.4,0.818730753077982
"77",0,1,0.166666666666667,0,100,10,63,8.8130581322132,0.106746404483933,0.330150859629992,Inf,0
"78",0,2,0.166666666666667,0,100,100,26,5.70832770909266,0.128646588035462,0.0464172651945547,Inf,0
"79",2,2,0.0833333333333333,0.333333333333333,10,10,60,2.53206289962267,0.0789585217773628,0.395036214718703,1.3,0.861375531655677
"80",1,2,0.0833333333333333,0,100,10,79,4.52549870242368,0.0979688516925007,0.171393539722259,Inf,0
"81",1,2,0.0833333333333333,0.333333333333333,100,10,85,5.08275644672736,0.0755497674131838,0.387751187745635,Inf,0
"82",2,2,0.166666666666667,0.333333333333333,1000,10,76,7.83548681829552,0.077740746637117,0.190918511937327,124.064,7.2344544415571e-26
"83",1,2,0.166666666666667,0,1000,100,74,8.81678935467517,0.13843855808419,0.0615514223799312,Inf,0
"84",0,2,0,0.333333333333333,100,10,77,6.71850235723903,0.0722490802465594,0.608984015281493,Inf,0
"85",0,2,0.166666666666667,0.166666666666667,1000,100,40,14.1636061275135,0.100855431545226,0.0742184721490681,Inf,0
"86",2,2,0,0.333333333333333,100,100,48,6.08282271625694,0.0803969609395932,0.41787898433266,2.105,0.716453854628847
"87",1,2,0,0.333333333333333,100,100,12,5.58228737517499,0.0556039540540267,0.518751647042021,4.64,0.200137415337332
"88",0,2,0.0833333333333333,0.333333333333333,100,100,49,9.11309244299849,0.08284393126109,0.212254559717233,Inf,0
"89",1,1,0.0833333333333333,0.333333333333333,10,100,73,3.80902196798027,0.080029203924422,0.331938434742332,1.2,0.548811636094026
"90",0,2,0.0833333333333333,0.333333333333333,10,10,79,2.36428636492386,0.0845619438851786,0.297350909935514,Inf,0
"91",0,2,0,0.166666666666667,1000,10,73,10.1479624282003,0.0848435483223301,0.314227916573323,Inf,0
"92",1,1,0.166666666666667,0.166666666666667,10,100,91,-0.506898840363803,0.0763079348264443,0.336051988993487,Inf,0
"93",2,2,0,0.333333333333333,1000,100,79,8.38949603225228,0.0853381991785455,0.430759769038242,10.003,0.0403771777014141
"94",0,2,0.166666666666667,0.166666666666667,10,100,14,2.79000153871188,0.0950796820137489,0.156409845778728,6.35,0.04179410408492
"95",0,1,0,0.166666666666667,100,10,58,10.3818599541808,0.0739703851856839,0.342064719935736,Inf,0
